职位,薪资,公司,所在地,要求
Java,15-25K,软通动力,上海·浦东新区·花木,3-5年大专
Java工程师,12-18K,软通动力信息技术集团,上海·浦东新区·张江,1-3年大专
Java开发,7-12K·13薪,中科软,上海,1-3年本科
Java,20-35K·15薪,叮咚买菜,上海·浦东新区·张江,5-10年本科
Java,25-50K·16薪,饿了么,上海·普陀区·长征,5-10年本科
Java开发工程师,7-12K·13薪,安硕信息技术,上海·杨浦区·四平路,在校/应届本科
初级Java开发工程师,10-15K,中电金信,上海·长宁区·中山公园,1-3年大专
Java,20-40K·14薪,京东集团,上海·长宁区·淞虹路,5-10年本科
Java,8-12K·13薪,万达信息,上海·闵行区·浦江,1-3年大专
JAVA开发工程师,13-26K,中软国际,上海·浦东新区·金桥,经验不限大专
Java,15-21K,法本,上海·长宁区·中山公园,1-3年大专
Java,13-18K·13薪,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
Java后端,14-24K,软通动力,上海·浦东新区·陆家嘴,3-5年学历不限
Java,28-35K,极兔速递,上海·青浦区·虹桥枢纽周边区,5-10年本科
JAVA工程师,8-12K·13薪,安硕信息技术,上海·杨浦区·五角场,在校/应届本科
Java,25-50K·15薪,叮咚买菜,上海·浦东新区·张江,经验不限本科
Java,45-70K·16薪,饿了么,上海·普陀区·长征,5-10年本科
上海-JAVA-银行,15-21K,软通动力信息技术集团,上海·浦东新区·曹路,1-3年大专
java开发,15-30K,中软国际,上海·浦东新区·金桥,3-5年大专
Java开发,15-25K,博彦科技,上海·浦东新区·陆家嘴,经验不限大专
Java开发工程师,16-25K,软通动力,上海·浦东新区·曹路,经验不限大专
JAVA,13-23K,法本,上海·浦东新区·陆家嘴,3-5年大专
Java,30-35K·15薪,饿了么,上海·普陀区·金沙江路,5-10年本科
Java架构师,20-40K·13薪,博彦科技,上海·浦东新区·张江,5-10年大专
Java,16-26K·13薪,极兔速递,上海·青浦区·华新,3-5年大专
java开发工程师,11-22K·13薪,中软国际,上海·浦东新区·金桥,经验不限学历不限
Java,11-20K,法本,上海·浦东新区·陆家嘴,3-5年大专
Java开发工程师,12-21K,软通动力,上海·浦东新区·曹路,3-5年大专
Java,15-25K·13薪,极兔速递,上海·青浦区·虹桥枢纽周边区,3-5年大专
