  职位,薪资,公司,所在地,要求
知识图谱/自然语言处理算法工程师,35-40K·15薪,Shopee,上海·徐汇区·漕河泾,3-5年本科
兼职~上海自然博物馆,2-3K,石尚博,上海·静安区·南京西路,经验不限学历不限
NLP开发工程师(知识图谱/NLG/多语种),25-50K·15薪,叮咚买菜,上海·浦东新区·张江,1-3年硕士
机器视觉技术应用工程师,10-11K,上海电气,上海·静安区·西藏北路,5-10年硕士
大数据开发工程师+银行项目+五险一金,15-20K,软通动力信息技术集团,上海·浦东新区·曹路,3-5年大专
elixir语言与phoenix框架开发（可兼职）,15-30K,上海黔易,上海,1年以内学历不限
自然语言处理工程师,20-40K·14薪,蜗牛保险,上海·闵行区·华漕,1-3年本科
AI算法工程师-[370977],20-25K·15薪,思特威电子,上海·徐汇区·漕河泾,在校/应届硕士
AI/视频编解码/ISP CV算法工程师,18-25K·15薪,星宸科技股份有限公司,上海·浦东新区·张江,在校/应届硕士
医疗图像算法研究员（实习）,200-250元/天,复星集团总部,上海·徐汇区·漕河泾,3天/周3个月硕士
多传感器标定算法实习生,400-600元/天,NIO蔚来,上海·嘉定区·安亭,4天/周3个月本科
推荐算法工程师,20-40K,吉利汽车,上海·徐汇区·龙华,5-10年本科
AI总监,50-80K·15薪,国民健康科技,上海·闵行区·梅陇,5-10年本科
算法助理工程师,200-300元/天,鲸朵,上海,3天/周3个月大专
视觉Slam专家/Tech Lead,60-90K·14薪,JMGO坚果,上海·徐汇区·漕河泾,5-10年硕士
Python开发工程师,15-22K,法本,上海·浦东新区·金桥,3-5年大专
系统运维工程师-金茂,8-10K,神州信息,上海·浦东新区·陆家嘴,1-3年大专
go语言开发工程,12-17K,懿烯电源,上海·宝山区·上大,经验不限大专
数据处理实习生,130-160元/天,公安部第三研究所,上海,3天/周3个月本科
数据处理,7-8K·14薪,中集飞瞳,上海,经验不限学历不限
NLP研发工程师,14-25K·15薪,构力,上海,1-3年硕士
AI算法实习生,200-400元/天,光鉴科技,上海·浦东新区·洋泾,4天/周4个月硕士
深度学习算法助理研究员,200-350元/天,深杳智能,上海·闵行区·老闵行,2天/周2个月本科
深度学习,250-500元/天,阿里巴巴集团,上海·闵行区·华漕,4天/周6个月博士
Python,200-210元/天,药明生物,上海·奉贤区·南桥,4天/周3个月硕士
计算机视觉算法（图像质量评价和美学评估）,15-30K,OPPO,上海·徐汇区·龙华,在校/应届学历不限
NLP自然语言处理工程师,20-40K,上海爱可生,上海,3-5年本科
自然语言处理专家-北京,50-80K·16薪,饿了么,上海·普陀区·长征,3-5年硕士
自然语言算法专家-上海/北京,30-60K·15薪,斑马网络,上海·闵行区·虹桥,5-10年硕士
字节跳动-Data-广告-电商广告-算法实习生JD,400-410元/天,北京字节跳动,上海·闵行区·虹梅路,4天/周4个月本科
算法专家,30-60K·16薪,传音控股,上海·浦东新区·张江,5-10年本科
核心技术研究员-上海,20-35K·15薪,科大讯飞,上海·长宁区·北新泾,经验不限硕士
NLP研究员,40-65K·14薪,循环智能,上海,经验不限硕士
推荐算法,30-50K·14薪,叮咚买菜,上海·浦东新区·张江,5-10年硕士
NLP算法专家 (MJ000020),45-75K,壹沓科技,上海·静安区·大宁,5-10年本科
Python开发工程师,11-22K,博彦科技,上海·浦东新区·金桥,1-3年大专
NLP算法专家,35-55K·13薪,建信览智,上海,5-10年硕士
搜索算法实习生,200-400元/天,拼多多,上海·长宁区·仙霞,4天/周2个月本科
高危投诉处理专家,8-12K,美团,上海·长宁区·北新泾,1-3年大专
Java开发工程师（上汽集团+不卡学历）,14-26K,法本,上海·嘉定区·安亭,3-5年大专
腾讯优图实验室AI算法实习生,100-200元/天,腾讯,上海·徐汇区·漕河泾,4天/周3个月本科
决策AI算法研发实习生,300-400元/天,上海人工智能创新中心,上海·徐汇区·龙华,5天/周6个月本科
自然语言处理,16-30K·16薪,饿了么,上海·普陀区·长征,1-3年硕士
图像算法工程师 (MJ000307),30-50K·16薪,Soul App,上海·浦东新区·世纪公园,5-10年学历不限
AI工程师 （机器学习/计算机视觉等）,16-30K·15薪,华为,上海·浦东新区·金桥,在校/应届硕士
图像算法实习生-A0301,300-400元/天,合合信息,上海·静安区·彭浦镇,3天/周3个月硕士
数据处理实习生,100-150元/天,药明生物,上海·奉贤区·南桥,4天/周3个月本科
计算机视觉算法工程师（实习生）,200-300元/天,OPPO,上海·徐汇区·龙华,4天/周3个月硕士
投诉处理专员,8-9K,携程旅行网,上海·长宁区·北新泾,1年以内大专
算法- NLP/风控/算法工程,25-45K·15薪,叮咚买菜,上海·浦东新区·张江,5-10年本科
Python开发工程师,15-20K,博彦科技,上海·浦东新区·金桥,3-5年大专
药学AI算法工程师/专家（上海）,16-25K·13薪,阿里巴巴集团,上海·闵行区·华漕,经验不限硕士
游戏内容算法高级研究员,30-55K,腾讯,上海·徐汇区·漕河泾,5-10年博士
搜索推荐开发工程师（实习生）,200-300元/天,bilibili,上海·杨浦区·五角场,4天/周3个月硕士
AI-Lab语音算法实习生,350-400元/天,今日头条,上海·闵行区·合川路,4天/周3个月本科
NLP与知识图谱技术专家,25-50K·14薪,华为,上海·浦东新区·金桥,经验不限本科
【上海】高级影像算法工程师,30-50K·16薪,OPPO,上海·徐汇区·龙华,5-10年硕士
推荐算法专家,40-70K·16薪,拼多多,上海·长宁区·中山公园,5-10年本科
Android leader,30-60K·15薪,北京字节跳动,上海·闵行区·虹梅路,经验不限学历不限
生物数据处理实习生,100-150元/天,药明生物,上海·奉贤区·南桥,4天/周3个月硕士
图像算法 (MJ000663),35-55K·16薪,Soul App,上海·浦东新区·世纪公园,经验不限学历不限
研究院-NLP研发实习生,200-400元/天,SenseTime,上海,5天/周3个月硕士
推荐算法工程师,40-70K·15薪,bilibili,上海·杨浦区·五角场,5-10年硕士
算法工程师,13-20K,华为,上海·浦东新区·金桥,在校/应届本科
CV算法工程师-人脸检测方向,30-50K·20薪,OPPO,上海,5-10年硕士
NLP算法工程师-抖音推荐技术,25-50K·15薪,今日头条,上海·闵行区·合川路,经验不限学历不限
21/22届博士-机器视觉方向,70-100K,华为,上海·浦东新区·金桥,1年以内博士
语言学相关,150-250元/天,bilibili,上海·杨浦区·五角场,4天/周3个月本科
研究院-NLP研发实习生,250-300元/天,SenseTime,上海·徐汇区·田林,5天/周3个月本科
自然语言处理专家 - 上海,45-75K·16薪,饿了么,上海·普陀区·长征,1-3年硕士
算法工程师-Data(北京&上海),25-26K,今日头条,上海·闵行区·虹梅路,在校/应届学历不限
资深搜索算法工程师（国际化-BQ5369,45-55K,bilibili,上海·杨浦区·五角场,5-10年本科
AI算法工程师,16-30K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
AI Lab语音识别科学家,25-50K·15薪,今日头条,上海·闵行区·合川路,3-5年博士
用户增长投放算法,40-70K·15薪,bilibili,上海·杨浦区·五角场,5-10年本科
算法工程师（通信/软件/媒体）,16-30K·15薪,华为,上海·浦东新区·金桥,在校/应届硕士
英语语言学实习生 — AI-Lab,250-300元/天,今日头条,上海·闵行区·合川路,3天/周3个月本科
BQ5369-资深搜索算法工程师（国际化,45-55K·15薪,bilibili,上海·杨浦区·五角场,5-10年本科
计算机图形算法实习生—AI Lab,150-200元/天,今日头条,上海·闵行区·合川路,3天/周3个月本科
本地生活-物流研发-算法专家（ETA）-上海,30-60K·16薪,饿了么,上海·普陀区·长征,5-10年本科
AI-Lab NLP研究员,40-70K·15薪,今日头条,上海·闵行区·合川路,5-10年本科
本地生活-搜索算法专家-到店算法组,30-60K·16薪,饿了么,上海·普陀区·长征,5-10年本科
AI Lab NLP算法工程师-机器翻译,30-60K·15薪,今日头条,上海·闵行区·合川路,3-5年本科
本地生活-物流研发-算法专家（ETA）-上海,30-60K·16薪,饿了么,上海·普陀区·长征,5-10年本科
推荐算法实习生-抖音,400-410元/天,今日头条,上海·闵行区·虹桥,4天/周3个月本科
物流研发-高级算法专家-上海/北京/杭州,30-60K·15薪,饿了么,上海·普陀区·长征,5-10年本科
内容安全算法工程师—视频理解,30-60K·15薪,今日头条,上海·闵行区·虹梅路,经验不限本科
数字营销算法专家/高级专家,30-60K·16薪,饿了么,上海,5-10年本科
本地生活-物流研发IoT创新业务技术后端专家,26-50K·16薪,饿了么,上海·普陀区·长征,5-10年本科
