职位,薪资,公司,所在地,要求
华为数通产品经理---上海,6-10K·17薪,中建材信息,上海·普陀区·曹杨,1-3年大专
网络工程师实习生,150-300元/天,缔安科技,上海·长宁区·天山,4天/周6个月本科
安全交付工程师,14-20K,昆联数码,上海,1-3年大专
二进制安全实习生,200-300元/天,安恒信息,上海·浦东新区·张江,4天/周3个月本科
Service Support Associate_Shanghai,13-16K,SAP Labs,上海·浦东新区·张江,在校/应届本科
技术工程师,5-6K·13薪,恒驰信息,上海·静安区·曹家渡,在校/应届本科
解决方案/售前工程师,15-25K,木浪云,上海·闵行区·虹桥,5-10年本科
IT实施工程师,6-8K·13薪,基美计算机科技,上海,1-3年大专
SCG-售前解决方案经理(智慧园区),20-40K·15薪,SenseTime,上海·徐汇区·漕河泾,5-10年本科
信息安全咨询工程师,10-15K·13薪,凯馨科技,上海·浦东新区·三林,1年以内硕士
售前解决方案工程师,25-50K,Authing,上海·杨浦区·五角场,5-10年本科
IT技术支持工程师,9-12K,美承集团,上海·徐汇区·田林,3-5年本科
Golang,20-40K·16薪,百度,上海·浦东新区·张江,3-5年本科
高级客户解决方案架构师,30-50K·15薪,斑马网络,上海·闵行区·华漕,10年以上本科
Java开发工程师【双休+五险一金】,15-25K,智能聚合,上海·浦东新区·塘桥,3-5年大专
解决方案顾问/售前支持,12-20K·13薪,适途汽车,上海·浦东新区·康桥,1-3年大专
分布式存储,15-30K·14薪,上海川源,上海·徐汇区·漕河泾,经验不限本科
备份存储工程师,10-15K,昆联数码,上海·闵行区·虹桥,3-5年大专
网络项目工程师,12-18K,缔安科技,上海·长宁区·天山,在校/应届本科
系统工程师,7-8K·13薪,基美计算机科技,上海·宝山区·大华,1-3年大专
SCG-售前解决方案经理(智慧园区),25-35K,SenseTime,上海·徐汇区·漕河泾,5-10年本科
数通网络中级工程师（上海）,10-15K,恒驰信息,上海·静安区·曹家渡,1-3年大专
安全攻防工程师,9-14K·14薪,安恒信息,上海·浦东新区·张江,3-5年大专
苹果解决方案工程师（SE）,9-12K,美承集团,上海·徐汇区·田林,1-3年本科
云计算解决方案架构师,20-40K·16薪,百度,上海·浦东新区·张江,5-10年本科
分布式存储工程师（售前）,10-15K·14薪,上海川源,上海·浦东新区·临港,5-10年本科
售前工程师,15-16K·15薪,缔安科技,上海·长宁区·娄山关路,5-10年本科
售前解决方案经理(智慧园区),20-35K,SenseTime,上海·徐汇区·漕河泾,5-10年本科
华为云售前SA,11-16K·13薪,恒驰信息,上海·静安区·曹家渡,1-3年大专
分布式存储工程师,12-18K,上海川源,上海·徐汇区·漕河泾,1-3年本科
售前解决方案经理(智慧园区),25-35K,SenseTime,上海,5-10年本科
初级工程师（训练营）,5-7K,恒驰信息,上海·静安区·曹家渡,1年以内本科
研究院-AI云平台售前解决方案高级工程师,20-40K·15薪,SenseTime,上海·徐汇区·漕河泾,5-10年本科
